date,day,time,location,notes
2026-01-24,Sat,06:30,Toti,Not last Sat
2026-02-28,Sat,06:30,Umdoni,
2026-03-22,Sun,07:00,Kloof,NOTE: not Saturday its Sunday
2026-04-25,Sat,07:30,Scottsburgh,
2026-05-31,Sun,07:00,Simbithi,NOTE: not Saturday its Sunday
2026-06-27,Sat,07:33,Royal,
2026-07-25,Sat,08:06,Umhlali,
2026-08-29,Sat,07:00,Umkomaas,
2026-09-12,Sat,,SUPER 6 - Royal,Details still to be confirmed
2026-09-26,Sat,08:00,Maritzburg GC,
2026-10-24,Sat,06:52,Selborne,NOTE: Not last Sat
2026-11-28,Sat,07:00,Camelot,
2026-12-12,Sat,,Royal / Umhlali,TBA; NOTE: not Saturday its Sunday
